atom_count,record_count,percent_of_formula_records,contains_target
0,123916482,99.99121178821404,false
1,8559,0.006906464482225408,true
2,1249,0.001007848362927858,true
3,377,0.0003042104346067273,true
4,215,0.00017348870939110441,true
5,82,0.0000661677868375375,true
6,83,0.00006697471106726357,true
7,26,0.000020980029972877745,true
8,44,0.00003550466610794695,true
9,15,0.000012103863445891006,true
10,21,0.00001694540882424741,true
11,6,4.841545378356402e-6,true
12,18,0.000014524636135069207,true
13,4,3.2276969189042683e-6,true
14,4,3.2276969189042683e-6,true
15,2,1.6138484594521342e-6,true
16,7,5.648469608082469e-6,true
18,7,5.648469608082469e-6,true
19,1,8.069242297260671e-7,true
20,2,1.6138484594521342e-6,true
21,1,8.069242297260671e-7,true
22,3,2.420772689178201e-6,true
24,5,4.034621148630335e-6,true
26,2,1.6138484594521342e-6,true
27,2,1.6138484594521342e-6,true
28,2,1.6138484594521342e-6,true
29,1,8.069242297260671e-7,true
30,3,2.420772689178201e-6,true
33,3,2.420772689178201e-6,true
34,1,8.069242297260671e-7,true
36,2,1.6138484594521342e-6,true
37,1,8.069242297260671e-7,true
38,2,1.6138484594521342e-6,true
41,3,2.420772689178201e-6,true
42,3,2.420772689178201e-6,true
43,1,8.069242297260671e-7,true
44,2,1.6138484594521342e-6,true
53,1,8.069242297260671e-7,true
56,1,8.069242297260671e-7,true
63,1,8.069242297260671e-7,true
69,1,8.069242297260671e-7,true
72,1,8.069242297260671e-7,true
82,2,1.6138484594521342e-6,true
84,1,8.069242297260671e-7,true
88,3,2.420772689178201e-6,true
92,1,8.069242297260671e-7,true
99,11,8.876166526986737e-6,true
100,1,8.069242297260671e-7,true
110,17,0.000013717711905343138,true
121,5,4.034621148630335e-6,true
126,4,3.2276969189042683e-6,true
132,2,1.6138484594521342e-6,true
141,1,8.069242297260671e-7,true
154,5,4.034621148630335e-6,true
168,3,2.420772689178201e-6,true
176,11,8.876166526986737e-6,true
194,1,8.069242297260671e-7,true
198,16,0.000012910787675617073,true
220,26,0.000020980029972877745,true
223,1,8.069242297260671e-7,true
263,1,8.069242297260671e-7,true
276,1,8.069242297260671e-7,true
306,1,8.069242297260671e-7,true
307,1,8.069242297260671e-7,true
326,1,8.069242297260671e-7,true
327,1,8.069242297260671e-7,true
346,1,8.069242297260671e-7,true
347,1,8.069242297260671e-7,true
367,1,8.069242297260671e-7,true
427,1,8.069242297260671e-7,true
446,1,8.069242297260671e-7,true
465,1,8.069242297260671e-7,true
485,1,8.069242297260671e-7,true
505,1,8.069242297260671e-7,true
506,1,8.069242297260671e-7,true
609,1,8.069242297260671e-7,true
